work_year,experience_level,salary_in_usd,remote_ratio,company_location,company_size,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT
2020,2,325000,100,1,2,0,0,1,0
2020,0,138000,100,1,0,0,0,1,0
2020,1,62726,50,0,0,0,0,1,0
2022,1,87425,100,0,2,0,0,1,0
2022,0,86703,50,0,1,0,0,1,0
2021,1,12901,0,0,0,0,0,1,0
2021,3,18907,0,0,1,0,0,1,0
2020,3,117104,50,0,2,0,0,1,0
2021,1,54238,50,0,2,0,0,1,0
2021,1,187442,100,0,2,0,0,1,0
2021,1,75774,100,0,2,0,0,1,0
2021,3,127221,50,0,2,0,0,1,0
2021,3,96113,50,0,2,0,0,1,0
2021,3,87738,100,0,0,0,0,1,0
2021,3,71786,100,0,1,0,0,1,0
2021,1,63810,100,0,1,0,0,1,0
2021,3,103691,100,0,2,0,0,1,0
2021,3,99703,50,0,1,0,0,1,0
2022,2,118187,100,0,0,0,0,1,0
2022,1,78791,100,0,1,0,0,1,0
2022,2,196979,50,0,2,0,0,1,0
2022,3,78791,100,0,1,0,0,1,0
2022,0,52396,100,0,2,0,0,1,0
2022,1,70912,50,0,2,0,0,1,0
2022,1,69336,100,0,1,0,0,1,0
2022,1,122346,0,0,2,0,0,1,0
2021,1,40038,100,0,2,0,0,1,0
2020,1,43331,0,0,1,0,0,1,0
2022,1,37236,50,1,2,0,0,1,0
2020,0,45896,50,0,0,0,0,1,0
2021,0,28609,50,0,0,0,0,0,1
2020,1,79833,0,0,2,0,0,1,0
2020,0,51321,0,0,0,0,0,1,0
2020,0,39916,0,0,1,0,0,1,0
2020,3,114047,100,0,0,0,0,1,0
2020,3,47899,50,0,2,0,0,1,0
2020,1,59303,100,0,0,0,0,1,0
2020,3,68428,100,1,2,0,0,1,0
2020,1,46759,50,0,2,0,0,1,0
2020,1,74130,50,0,2,0,0,1,0
2020,2,79833,50,0,2,0,0,1,0
2020,1,50180,0,0,1,0,0,1,0
2020,0,15966,100,0,0,0,0,0,1
2020,1,70139,50,0,2,0,0,1,0
2020,0,54742,100,0,2,0,0,1,0
2020,3,148261,100,0,1,0,0,1,0
2020,1,38776,100,0,1,0,0,1,0
2020,0,21669,50,0,0,0,0,0,1
2020,3,45618,100,0,0,0,0,1,0
2020,0,62726,50,0,0,0,0,1,0
2020,0,49268,0,0,0,0,0,1,0
2020,3,91237,0,0,0,0,0,1,0
2020,1,42197,50,0,0,0,0,1,0
2021,3,53192,50,0,2,0,0,1,0
2021,3,79197,100,0,2,0,0,1,0
2021,1,47282,100,0,0,0,0,1,0
2021,2,153667,100,0,2,0,0,1,0
2021,3,88654,100,0,2,0,0,1,0
2021,0,76833,100,0,0,0,0,1,0
2021,1,95746,100,1,0,0,0,1,0
2021,3,94564,50,0,2,0,0,1,0
2021,1,45391,100,0,2,0,0,1,0
2021,1,40189,100,0,1,0,0,1,0
2021,0,10354,50,0,1,0,0,0,1
2021,0,49646,50,0,1,0,0,1,0
2021,3,82744,50,0,1,0,0,1,0
2021,1,62649,50,0,1,0,0,1,0
2021,1,28369,50,0,2,0,0,1,0
2021,0,63831,50,0,2,0,0,1,0
2021,2,130026,50,0,1,0,0,1,0
2021,3,60757,50,0,2,0,0,1,0
2021,1,90734,50,0,2,0,0,1,0
2021,1,26005,0,1,2,0,0,1,0
2021,2,69741,100,0,0,0,0,1,0
2021,3,76833,50,0,0,0,0,1,0
2021,1,61467,50,0,1,0,0,1,0
2021,1,37825,100,0,2,0,0,1,0
2021,1,24823,50,0,2,0,0,1,0
2021,1,56738,50,0,0,0,0,1,0
2021,0,24823,50,0,1,0,0,1,0
2021,1,90734,50,0,2,0,0,1,0
2021,1,88654,100,0,1,0,0,1,0
2021,1,88654,50,0,2,0,0,1,0
2021,1,46809,100,0,1,0,0,1,0
2021,0,36643,50,0,2,0,0,1,0
2021,3,173762,100,0,1,0,0,1,0
2021,2,141846,0,0,2,0,0,1,0
2021,3,63831,50,0,2,0,0,1,0
2021,1,25532,100,0,0,0,0,1,0
2021,0,65013,50,0,1,0,0,1,0
2021,0,76833,0,0,2,0,0,1,0
2021,3,77684,50,0,1,0,0,1,0
2021,0,59102,100,0,2,0,0,1,0
2021,1,69741,100,0,2,0,0,0,1
2021,3,102839,100,0,2,0,0,1,0
2021,1,51064,50,0,2,0,0,1,0
2022,1,54957,0,0,1,0,0,1,0
2022,1,54957,0,0,1,0,0,1,0
2022,1,87932,100,0,1,0,0,1,0
2022,1,65949,100,0,1,0,0,1,0
2022,1,49461,100,0,1,0,0,1,0
2022,1,49461,100,0,1,0,0,1,0
2022,1,43966,100,0,1,0,0,1,0
2022,1,32974,100,0,1,0,0,1,0
2022,1,87932,100,0,1,0,0,1,0
2022,1,76940,100,0,1,0,0,1,0
2022,1,65949,100,0,1,0,0,1,0
2022,1,87932,100,0,1,0,0,1,0
2022,1,43966,100,0,1,0,0,1,0
2022,1,32974,100,0,1,0,0,1,0
2022,1,76940,100,0,1,0,0,1,0
2022,0,21983,100,0,2,0,0,1,0
2022,3,87932,0,0,1,0,0,1,0
2022,1,58255,50,0,2,0,0,1,0
2022,1,54957,50,0,2,0,0,0,1
2022,3,162674,100,0,1,0,0,1,0
2022,0,31875,100,0,1,1,0,0,0
2022,0,58035,100,0,1,0,0,1,0
2022,3,93427,50,0,2,0,0,1,0
2022,3,62651,100,0,2,0,0,1,0
2022,1,32974,100,0,0,0,0,1,0
2022,1,64849,0,0,2,0,0,1,0
2022,3,71444,100,0,0,0,0,1,0
2022,1,68147,100,0,1,0,0,1,0
2020,3,109024,50,0,1,0,0,1,0
2020,1,112872,50,0,2,0,0,1,0
2020,1,76958,100,0,0,0,0,1,0
2021,0,82528,50,0,2,0,0,1,0
2021,1,51519,50,0,2,0,0,1,0
2021,3,113476,100,0,1,0,0,1,0
2021,3,103160,100,0,0,0,0,1,0
2021,0,110037,0,0,2,0,0,1,0
2021,1,82528,100,0,2,0,0,1,0
2021,3,61896,50,0,2,0,0,1,0
2021,1,66022,50,0,0,0,0,1,0
2021,1,116914,50,0,2,0,0,1,0
2021,1,56256,50,0,2,0,0,1,0
2021,1,72212,50,0,2,0,0,1,0
2021,3,96282,50,0,2,0,0,1,0
2022,3,117789,0,0,1,0,0,1,0
2022,3,104702,0,0,1,0,0,1,0
2022,0,52351,100,0,1,0,0,1,0
2022,1,65438,0,0,1,0,0,1,0
2022,1,39263,0,0,1,0,0,1,0
2022,1,78526,0,0,1,0,0,1,0
2022,1,52351,0,0,1,0,0,1,0
2022,0,45807,100,0,1,0,0,1,0
2022,3,78526,0,0,1,0,0,1,0
2022,3,65438,0,0,1,0,0,1,0
2022,0,37300,100,0,2,0,0,1,0
2022,1,124333,0,0,1,0,0,1,0
2022,1,98158,0,0,1,0,0,1,0
2022,1,117789,0,0,1,0,0,1,0
2022,1,98158,0,0,1,0,0,1,0
2022,1,52351,100,0,1,0,0,1,0
2022,1,71982,0,0,1,0,0,1,0
2022,1,45807,0,0,1,0,0,1,0
2022,1,78526,100,0,1,0,0,1,0
2022,1,58894,100,0,1,0,0,1,0
2022,1,39263,100,0,1,0,0,1,0
2022,1,104702,100,0,1,0,0,1,0
2022,1,91614,100,0,1,0,0,1,0
2022,1,98158,100,0,1,0,0,1,0
2022,1,78526,100,0,1,0,0,1,0
2022,1,183228,0,0,1,0,0,1,0
2022,1,91614,0,0,1,0,0,1,0
2022,1,65438,0,0,1,0,0,1,0
2022,1,45807,0,0,1,0,0,1,0
2020,1,35735,50,0,2,0,0,1,0
2021,1,36259,50,1,2,0,0,1,0
2020,1,40481,0,0,2,0,0,1,0
2020,0,5707,50,0,1,0,0,1,0
2020,1,6072,100,0,2,0,0,1,0
2020,0,6072,0,0,0,0,0,1,0
2021,1,5409,50,0,1,0,0,0,1
2021,1,19609,100,0,2,0,0,1,0
2021,0,29751,50,0,2,0,0,1,0
2021,0,30428,100,0,2,0,0,1,0
2021,1,9466,0,0,0,0,0,1,0
2021,3,40570,50,0,2,0,0,1,0
2021,1,5679,100,1,0,0,0,1,0
2021,3,24342,100,0,2,0,0,1,0
2021,3,54094,50,1,2,0,0,1,0
2021,0,5882,0,0,2,0,0,1,0
2021,1,33808,0,0,1,0,0,1,0
2021,0,16228,100,0,2,0,0,1,0
2021,0,21637,50,0,1,0,0,1,0
2021,0,18053,100,0,0,0,0,1,0
2021,1,16904,100,0,0,0,0,1,0
2021,3,66265,0,0,2,0,0,1,0
2021,3,94665,50,0,2,0,0,1,0
2022,2,79039,50,0,2,0,0,1,0
2022,1,18442,100,0,1,0,0,1,0
2022,1,31615,100,0,2,0,0,1,0
2022,0,18442,100,0,1,0,0,1,0
2020,0,41689,100,0,0,0,0,1,0
2021,1,63711,50,0,0,0,0,1,0
2021,1,77364,50,0,0,0,0,1,0
2020,3,33511,0,0,0,0,0,1,0
2021,1,2859,0,0,0,0,0,1,0
2021,1,28476,100,0,2,0,0,1,0
2021,1,46597,100,0,2,0,0,1,0
2022,1,35590,100,0,2,0,0,1,0
2021,1,89294,50,0,2,0,0,1,0
2021,1,119059,100,0,1,0,0,1,0
2021,1,12103,0,0,1,0,0,1,0
2021,1,28016,100,0,1,0,0,1,0
2021,3,20171,50,0,2,0,0,1,0
2020,3,260000,0,0,0,0,0,1,0
2020,1,20000,0,0,0,0,0,1,0
2020,3,150000,50,1,2,0,0,1,0
2020,0,72000,100,1,2,0,0,1,0
2020,3,190000,100,1,0,0,0,1,0
2020,1,135000,100,1,2,0,0,1,0
2020,3,125000,50,0,0,0,0,1,0
2020,1,87000,100,1,2,0,0,1,0
2020,1,85000,100,1,2,0,0,1,0
2020,1,8000,50,0,2,0,0,1,0
2020,1,56000,100,1,1,0,0,1,0
2020,1,98000,0,1,1,0,0,1,0
2020,1,115000,0,0,2,0,0,1,0
2020,0,42000,50,0,2,0,0,1,0
2020,0,100000,100,1,2,1,0,0,0
2020,0,70000,100,1,2,0,0,1,0
2020,1,450000,0,1,1,0,0,1,0
2020,1,103000,100,1,2,0,0,1,0
2020,0,250000,50,1,2,0,0,1,0
2020,0,10000,100,0,0,0,0,1,0
2020,1,45760,100,1,0,0,0,1,0
2020,1,106000,100,1,2,0,0,1,0
2020,3,188000,100,1,2,0,0,1,0
2020,1,105000,100,1,2,0,0,1,0
2020,0,91000,100,1,2,0,0,1,0
2020,3,60000,100,1,0,0,1,0,0
2020,1,118000,100,1,1,0,0,1,0
2020,3,120000,50,1,2,0,0,1,0
2020,1,138350,100,1,1,0,0,1,0
2020,1,110000,100,1,2,0,0,1,0
2020,1,130800,100,1,1,0,0,1,0
2020,3,412000,100,1,2,0,0,1,0
2020,3,190200,100,1,1,0,0,1,0
2020,0,105000,100,1,0,0,0,1,0
2021,2,150000,100,1,2,0,0,1,0
2021,2,235000,100,1,2,0,0,1,0
2021,1,100000,100,1,1,0,0,1,0
2021,1,270000,100,1,2,1,0,0,0
2021,0,80000,100,1,1,0,0,1,0
2021,1,140000,100,1,2,0,0,1,0
2021,1,110000,100,1,2,0,0,1,0
2021,3,170000,100,1,2,0,0,1,0
2021,3,80000,100,1,0,0,0,1,0
2021,3,276000,0,1,2,0,0,1,0
2021,0,12000,100,1,0,0,0,0,1
2021,1,75000,0,1,2,0,0,1,0
2021,3,150000,100,1,2,0,0,1,0
2021,1,62000,0,1,2,0,0,1,0
2021,1,73000,0,1,2,0,0,1,0
2021,3,115000,100,1,0,0,0,1,0
2021,3,150000,100,1,1,0,0,1,0
2021,0,12000,100,1,1,0,0,0,1
2021,0,225000,100,1,2,0,0,1,0
2021,1,50000,100,0,2,0,0,1,0
2021,0,90000,100,1,0,0,0,1,0
2021,1,200000,100,1,2,0,0,1,0
2021,1,60000,50,0,1,0,0,1,0
2021,3,200000,100,1,1,0,0,1,0
2021,0,50000,100,1,1,0,0,1,0
2021,1,151000,100,1,2,0,0,1,0
2021,3,120000,50,1,0,0,0,1,0
2021,0,20000,100,0,0,0,0,1,0
2021,0,100000,50,0,0,0,0,1,0
2021,1,38400,100,1,1,0,0,1,0
2021,3,24000,100,0,1,0,0,1,0
2021,0,100000,0,1,0,0,0,1,0
2021,1,90000,100,1,1,0,0,1,0
2021,3,220000,0,1,2,0,0,1,0
2021,0,80000,100,1,1,0,0,1,0
2021,1,135000,100,1,2,0,0,1,0
2021,3,240000,0,1,2,0,0,1,0
2021,1,100000,100,1,2,0,0,1,0
2021,1,90000,100,1,2,0,0,1,0
2021,3,153000,100,1,2,0,0,1,0
2021,3,160000,100,1,0,0,0,1,0
2021,3,168000,0,0,0,0,0,1,0
2021,1,150000,100,1,1,0,0,1,0
2021,0,13400,100,0,2,0,0,1,0
2021,3,144000,100,1,2,0,0,1,0
2021,1,423000,50,1,2,0,0,1,0
2021,3,120000,100,1,1,0,0,1,0
2021,0,125000,100,1,0,0,0,1,0
2021,2,230000,50,0,2,0,0,1,0
2021,2,85000,0,0,1,0,0,1,0
2021,3,165000,100,1,2,0,0,1,0
2021,0,80000,100,1,2,0,0,1,0
2021,2,250000,0,1,2,0,0,1,0
2021,0,55000,50,1,0,0,0,1,0
2021,1,150000,100,1,2,0,0,1,0
2021,1,170000,100,1,2,0,0,1,0
2021,0,60000,100,1,0,0,0,1,0
2021,3,235000,100,1,2,0,0,1,0
2021,3,174000,100,1,2,0,0,1,0
2021,0,81000,50,1,0,0,0,1,0
2021,1,12000,50,0,1,0,1,0,0
2021,1,4000,100,0,1,0,0,1,0
2021,3,50000,100,0,1,0,0,1,0
2021,1,74000,50,0,0,0,0,1,0
2021,3,152000,100,0,2,0,0,1,0
2021,0,21844,50,0,1,0,0,1,0
2021,1,18000,0,0,0,0,0,1,0
2021,3,174000,100,1,2,0,0,1,0
2021,1,147000,50,1,2,0,0,1,0
2021,0,9272,100,0,0,0,0,1,0
2021,0,90000,100,1,0,0,0,1,0
2021,3,195000,100,1,1,0,0,1,0
2021,3,50000,100,1,0,0,0,1,0
2021,1,160000,100,1,2,0,0,1,0
2021,3,200000,100,1,2,0,0,1,0
2021,3,165000,0,1,1,0,0,1,0
2021,1,20000,0,1,2,0,1,0,0
2021,3,120000,0,1,2,0,0,1,0
2021,3,185000,100,1,2,0,0,1,0
2021,3,140000,100,1,2,0,0,1,0
2021,3,225000,100,0,2,0,0,1,0
2021,2,416000,100,1,0,1,0,0,0
2021,3,135000,0,1,2,0,0,1,0
2021,3,256000,100,1,0,0,0,1,0
2021,3,200000,100,1,2,0,0,1,0
2021,3,200000,100,1,2,0,0,1,0
2021,1,180000,100,1,2,0,0,1,0
2021,1,110000,0,1,0,0,0,1,0
2021,0,4000,0,0,1,0,0,1,0
2021,1,80000,100,1,2,0,0,1,0
2021,1,110000,100,1,2,0,0,1,0
2021,3,165000,100,1,2,0,0,1,0
2021,3,170000,100,1,1,0,0,1,0
2021,1,115000,50,1,2,0,0,1,0
2021,0,90000,100,1,0,0,0,1,0
2021,1,93000,100,1,2,0,0,1,0
2021,1,200000,100,1,2,0,0,1,0
2021,3,185000,50,1,2,0,0,1,0
2021,1,130000,50,1,2,0,0,1,0
2021,3,160000,50,1,0,0,0,1,0
2021,1,93150,0,1,1,0,0,1,0
2021,1,111775,0,1,1,0,0,1,0
2021,0,72500,100,1,2,0,0,1,0
2021,0,85000,100,0,0,0,0,1,0
2021,0,100000,100,1,1,0,0,1,0
2021,0,58000,50,1,2,0,0,1,0
2021,3,55000,100,0,2,0,0,1,0
2021,1,112000,100,1,2,0,0,1,0
2021,0,100000,0,0,2,0,0,1,0
2021,3,105000,100,1,1,1,0,0,0
2021,1,69999,50,0,2,0,0,1,0
2021,1,109000,50,1,2,0,0,1,0
2022,3,135000,100,1,1,0,0,1,0
2022,3,155000,100,1,1,0,0,1,0
2022,3,120600,100,1,1,0,0,1,0
2022,1,130000,0,1,1,0,0,1,0
2022,1,90000,0,1,1,0,0,1,0
2022,1,170000,100,1,1,0,0,1,0
2022,1,150000,100,1,1,0,0,1,0
2022,3,102100,100,1,1,0,0,1,0
2022,3,84900,100,1,1,0,0,1,0
2022,3,136620,100,1,1,0,0,1,0
2022,3,99360,100,1,1,0,0,1,0
2022,3,146000,100,1,1,0,0,1,0
2022,3,123000,100,1,1,0,0,1,0
2022,3,99000,0,1,1,0,0,1,0
2022,3,116000,0,1,1,0,0,1,0
2022,1,106260,0,1,1,0,0,1,0
2022,1,126500,0,1,1,0,0,1,0
2022,2,242000,100,1,1,0,0,1,0
2022,2,200000,100,1,1,0,0,1,0
2022,3,165220,100,1,1,0,0,1,0
2022,3,120160,100,1,1,0,0,1,0
2022,3,90320,100,1,1,0,0,1,0
2022,3,181940,0,1,1,0,0,1,0
2022,3,132320,0,1,1,0,0,1,0
2022,3,220110,0,1,1,0,0,1,0
2022,3,160080,0,1,1,0,0,1,0
2022,3,180000,0,1,2,0,0,1,0
2022,3,120000,0,1,2,0,0,1,0
2022,3,124190,100,1,1,0,0,1,0
2022,2,130000,100,1,1,0,0,1,0
2022,2,110000,100,1,1,0,0,1,0
2022,3,170000,100,1,1,0,0,1,0
2022,1,115500,100,1,1,0,0,1,0
2022,3,112900,100,1,1,0,0,1,0
2022,3,90320,100,1,1,0,0,1,0
2022,3,112900,100,1,1,0,0,1,0
2022,3,90320,100,1,1,0,0,1,0
2022,3,165400,100,1,1,0,0,1,0
2022,3,132320,100,1,1,0,0,1,0
2022,1,167000,100,1,1,0,0,1,0
2022,3,243900,100,1,1,0,0,1,0
2022,3,136600,100,1,1,0,0,1,0
2022,3,109280,100,1,1,0,0,1,0
2022,3,128875,100,1,1,0,0,1,0
2022,3,93700,100,1,1,0,0,1,0
2022,2,224000,100,1,1,0,0,1,0
2022,2,167875,100,1,1,0,0,1,0
2022,2,175000,100,1,1,0,0,1,0
2022,3,156600,100,1,1,0,0,1,0
2022,3,108800,0,1,1,0,0,1,0
2022,3,95550,0,1,1,0,0,1,0
2022,3,113000,0,1,2,0,0,1,0
2022,3,135000,100,1,1,0,0,1,0
2022,3,161342,100,1,1,0,0,1,0
2022,3,137141,100,1,1,0,0,1,0
2022,3,167000,100,1,1,0,0,1,0
2022,3,123000,100,1,1,0,0,1,0
2022,3,150000,0,1,1,0,0,1,0
2022,3,211500,100,1,1,0,0,1,0
2022,3,192400,100,0,1,0,0,1,0
2022,3,90700,100,0,1,0,0,1,0
2022,3,130000,100,0,1,0,0,1,0
2022,3,61300,100,0,1,0,0,1,0
2022,3,130000,100,0,1,0,0,1,0
2022,3,61300,100,0,1,0,0,1,0
2022,3,160000,0,1,2,0,0,1,0
2022,3,138600,100,1,1,0,0,1,0
2022,3,136000,0,1,1,0,0,1,0
2022,1,58000,0,1,0,0,0,1,0
2022,2,135000,100,1,1,0,0,1,0
2022,3,170000,100,1,1,0,0,1,0
2022,3,123000,100,1,1,0,0,1,0
2022,3,189650,0,1,1,0,0,1,0
2022,3,164996,0,1,1,0,0,1,0
2022,3,132000,0,1,1,0,0,1,0
2022,3,165400,100,1,1,0,0,1,0
2022,3,208775,100,1,1,0,0,1,0
2022,3,147800,100,1,1,0,0,1,0
2022,3,136994,100,1,1,0,0,1,0
2022,3,101570,100,1,1,0,0,1,0
2022,3,128875,100,1,1,0,0,1,0
2022,3,93700,100,1,1,0,0,1,0
2022,3,132320,100,1,1,0,0,1,0
2022,3,164000,0,1,1,0,0,1,0
2022,3,155000,100,1,1,0,0,1,0
2022,1,120000,0,1,1,0,0,1,0
2022,3,112900,100,1,1,0,0,1,0
2022,3,90320,100,1,1,0,0,1,0
2022,3,145000,100,1,1,0,0,1,0
2022,3,105400,100,1,1,0,0,1,0
2022,3,215300,100,1,2,0,0,1,0
2022,3,158200,100,1,2,0,0,1,0
2022,3,209100,100,1,2,0,0,1,0
2022,3,154600,100,1,2,0,0,1,0
2022,3,115934,0,1,1,0,0,1,0
2022,3,81666,0,1,1,0,0,1,0
2022,3,175000,100,1,1,0,0,1,0
2022,1,58000,0,1,0,0,0,1,0
2022,3,183600,100,1,2,0,0,1,0
2022,3,180000,100,1,1,0,0,1,0
2022,3,260000,100,1,1,0,0,1,0
2022,3,60000,100,0,1,0,0,1,0
2022,1,63900,0,1,1,0,0,1,0
2022,1,160000,100,1,2,0,0,1,0
2022,1,112300,100,1,2,0,0,1,0
2022,1,241000,100,1,1,0,0,1,0
2022,1,159000,100,1,1,0,0,1,0
2022,3,180000,0,1,1,0,0,1,0
2022,3,80000,0,1,1,0,0,1,0
2022,1,82900,0,1,1,0,0,1,0
2022,3,100800,100,1,2,0,0,1,0
2022,3,140400,0,1,2,0,0,1,0
2022,3,189650,0,1,1,0,0,1,0
2022,3,164996,0,1,1,0,0,1,0
2022,3,215300,0,1,2,0,0,1,0
2022,3,209100,100,1,2,0,0,1,0
2022,3,154600,100,1,2,0,0,1,0
2022,3,180000,100,1,1,0,0,1,0
2022,3,80000,100,1,1,0,0,1,0
2022,1,120000,100,1,0,0,0,1,0
2022,0,125000,0,1,1,0,0,1,0
2022,3,105000,100,1,1,0,0,1,0
2022,0,100000,50,1,2,0,0,1,0
2022,0,120000,100,1,1,0,0,1,0
2022,3,144000,50,1,2,0,0,1,0
2022,3,104890,100,1,1,0,0,1,0
2022,3,100000,100,1,1,0,0,1,0
2022,3,140000,100,1,1,0,0,1,0
2022,1,135000,100,1,1,0,0,1,0
2022,1,50000,100,1,1,0,0,1,0
2022,3,220000,100,1,1,0,0,1,0
2022,3,140000,100,1,1,0,0,1,0
2022,3,185100,100,1,1,0,0,1,0
2022,3,220000,100,1,1,0,0,1,0
2022,1,200000,100,1,1,0,0,1,0
2022,1,120000,100,1,1,0,0,1,0
2022,3,120000,100,0,0,0,0,1,0
2022,3,65000,100,0,0,0,0,1,0
2022,2,324000,100,1,1,0,0,1,0
2022,2,216000,100,1,1,0,0,1,0
2022,3,210000,100,1,1,0,0,1,0
2022,3,120000,100,1,1,0,0,1,0
2022,3,230000,100,1,1,0,0,1,0
2022,0,100000,50,0,1,0,0,0,1
2022,1,100000,100,1,1,0,1,0,0
2022,3,200000,100,1,1,0,0,1,0
2022,1,75000,100,0,0,0,0,1,0
2022,3,100000,100,1,1,0,0,1,0
2022,1,153000,50,1,1,0,0,1,0
2022,3,165000,100,1,1,0,0,1,0
2022,0,40000,100,0,2,0,0,1,0
2022,3,115000,100,1,1,0,0,1,0
2022,1,75000,100,1,2,0,0,1,0
2022,0,120000,100,1,2,0,0,1,0
2022,1,157000,100,1,2,0,0,1,0
2022,0,150000,100,0,0,0,0,1,0
2022,0,65000,100,1,0,0,0,1,0
2022,0,20000,0,0,1,0,0,1,0
2022,1,48000,100,1,0,0,0,1,0
2022,3,152500,100,1,1,0,0,1,0
2022,3,380000,100,1,2,0,0,1,0
2022,0,10000,100,0,1,0,0,1,0
2022,1,20000,100,0,0,0,0,1,0
2022,3,405000,100,1,2,0,0,1,0
2022,1,135000,100,1,2,0,0,1,0
2022,3,177000,100,1,2,0,0,1,0
2022,1,78000,100,1,1,0,0,1,0
2022,3,135000,100,1,1,0,0,1,0
2022,3,100000,100,1,1,0,0,1,0
2022,3,90320,100,1,1,0,0,1,0
2022,1,85000,0,0,1,0,0,1,0
2022,1,75000,0,0,1,0,0,1,0
2022,3,214000,100,1,1,0,0,1,0
2022,3,192600,100,1,1,0,0,1,0
2022,3,266400,100,1,1,0,0,1,0
2022,3,213120,100,1,1,0,0,1,0
2022,3,112900,100,1,1,0,0,1,0
2022,3,155000,100,1,1,0,0,1,0
2022,1,141300,0,1,1,0,0,1,0
2022,1,102100,0,1,1,0,0,1,0
2022,3,115934,100,1,1,0,0,1,0
2022,3,81666,100,1,1,0,0,1,0
2022,1,206699,0,1,1,0,0,1,0
2022,1,99100,0,1,1,0,0,1,0
2022,3,130000,100,1,1,0,0,1,0
2022,3,115000,100,1,1,0,0,1,0
2022,3,110500,100,1,1,0,0,1,0
2022,3,130000,100,1,1,0,0,1,0
2022,3,99050,100,1,1,0,0,1,0
2022,3,160000,100,1,1,0,0,1,0
2022,3,205300,0,1,2,0,0,1,0
2022,3,140400,0,1,2,0,0,1,0
2022,3,176000,100,1,1,0,0,1,0
2022,3,144000,100,1,1,0,0,1,0
2022,3,200100,100,1,1,0,0,1,0
2022,3,160000,100,1,1,0,0,1,0
2022,3,145000,100,1,1,0,0,1,0
2022,3,70500,0,1,1,0,0,1,0
2022,3,205300,0,1,1,0,0,1,0
2022,3,140400,0,1,1,0,0,1,0
2022,3,205300,0,1,1,0,0,1,0
2022,3,184700,0,1,1,0,0,1,0
2022,3,175100,100,1,1,0,0,1,0
2022,3,140250,100,1,1,0,0,1,0
2022,3,116150,100,1,1,0,0,1,0
2022,3,80000,100,1,1,0,0,1,0
2022,3,140000,100,1,1,0,0,1,0
2022,3,210000,100,1,1,0,0,1,0
2022,3,140000,100,1,1,0,0,1,0
2022,3,100000,100,1,1,0,0,1,0
2022,3,69000,100,1,1,0,0,1,0
2022,3,210000,100,1,1,0,0,1,0
2022,3,140000,100,1,1,0,0,1,0
2022,3,210000,100,1,1,0,0,1,0
2022,3,150075,100,1,1,0,0,1,0
2022,3,100000,100,1,1,0,0,1,0
2022,3,25000,100,1,1,0,0,1,0
2022,3,126500,100,1,1,0,0,1,0
2022,3,106260,100,1,1,0,0,1,0
2022,3,220110,100,1,1,0,0,1,0
2022,3,160080,100,1,1,0,0,1,0
2022,3,105000,100,1,1,0,0,1,0
2022,3,110925,100,1,1,0,0,1,0
2022,3,140000,100,1,1,0,0,1,0
2022,3,99000,0,1,1,0,0,1,0
2022,3,60000,100,1,1,0,0,1,0
2022,3,192564,100,1,1,0,0,1,0
2022,3,144854,100,1,1,0,0,1,0
2022,3,230000,100,1,1,0,0,1,0
2022,3,150000,100,1,1,0,0,1,0
2022,3,150260,100,1,1,0,0,1,0
2022,3,109280,100,1,1,0,0,1,0
2022,3,210000,100,1,1,0,0,1,0
2022,3,170000,100,1,1,0,0,1,0
2022,1,160000,100,1,1,0,0,1,0
2022,1,130000,100,1,1,0,0,1,0
2022,0,67000,0,0,1,0,0,1,0
2022,0,52000,0,0,1,0,0,1,0
2022,3,154000,100,1,1,0,0,1,0
2022,3,126000,100,1,1,0,0,1,0
2022,3,129000,0,1,1,0,0,1,0
2022,3,150000,100,1,1,0,0,1,0
2022,1,200000,100,1,2,0,0,1,0
2021,0,59102,50,0,1,0,0,1,0
2021,1,450000,100,1,2,0,0,1,0
2021,0,70000,100,1,1,0,0,1,0
2021,3,150000,0,1,2,0,0,1,0
2021,1,82500,100,1,0,0,0,1,0
2021,1,22611,0,0,2,0,0,1,0
2021,2,600000,100,1,2,0,0,1,0
2021,0,28399,100,0,1,0,0,1,0
2022,3,54000,0,1,1,0,0,1,0
2022,3,170000,100,1,1,0,0,1,0